client_id.int32()	deposit_id.int32()	number_of_account.auto()	date_open.auto()	date_close.auto()	money_sum.int32()
3	1	BG67PLBQ86547605620188	2021-12-28	2025-02-14	819680
8	1	FR6517411728602445465825329	2002-12-10	2009-12-18	72975
5	1	KW7666228571410492361648242435	2009-05-26	2021-11-25	506818
10	1	SE6931849173274418436592	2022-05-03	2022-07-02	424211
4	2	IT866VGXXI32892443284544632	2010-07-04	2012-06-01	900758
7	3	PT12182844504462472384645	2017-07-28	2019-06-25	39071
1	3	RS33929508581592452031	2020-02-20	2021-10-26	503518
2	4	BG19LTAD83552586983298	2020-09-11	2020-12-14	994204
6	4	KW4953436078568556278475137675	2012-09-24	2012-12-11	67659
9	5	ME05699591627351563893	2019-08-23	2020-11-20	167859
20	3	qwerty	2022-11-28	2022-11-29	1
